Date,Stock,Entry,Exit,Qty,Invested,PnL,PnL_%,Cumulative_PnL,Result,Stop_Loss,Target,RF_Conf,XGB_Conf
2026-01-19,RELIANCE.NS,1413.6,1394.0,1.0,1413.6,-19.6,-1.39,255.01,HOLD_CLOSE,1373.07,1494.66,0.549,0.715
2026-01-20,RELIANCE.NS,1394.0,1404.6,1.0,1394.0,10.6,0.76,265.61,HOLD_CLOSE,1353.58,1474.84,0.581,0.847
2026-01-21,RELIANCE.NS,1404.6,1402.5,1.0,1404.6,-2.1,-0.15,263.51,HOLD_CLOSE,1362.79,1488.21,0.581,0.781
2026-01-22,RELIANCE.NS,1402.5,1386.1,1.0,1402.5,-16.4,-1.17,247.11,HOLD_CLOSE,1361.05,1485.39,0.607,0.806
2026-01-23,RELIANCE.NS,1386.1,1380.5,1.0,1386.1,-5.6,-0.4,241.51,HOLD_CLOSE,1344.83,1468.64,0.593,0.743
2026-01-27,RELIANCE.NS,1380.5,1396.7,1.0,1380.5,16.2,1.17,257.71,HOLD_CLOSE,1339.65,1462.2,0.597,0.807
2026-01-28,RELIANCE.NS,1396.7,1391.0,1.0,1396.7,-5.7,-0.41,252.01,HOLD_CLOSE,1355.62,1478.87,0.557,0.7
2026-01-29,RELIANCE.NS,1391.0,1395.4,1.0,1391.0,4.4,0.32,256.41,HOLD_CLOSE,1350.83,1471.35,0.602,0.768
2026-02-02,RELIANCE.NS,1390.4,1476.4,1.0,1390.4,86.0,6.18,342.41,TARGET_HIT,1347.4,1476.4,0.624,0.818
2026-02-03,RELIANCE.NS,1437.1,1456.8,1.0,1437.1,19.7,1.37,362.11,HOLD_CLOSE,1386.56,1538.19,0.572,0.708
2026-02-04,RELIANCE.NS,1456.8,1443.4,1.0,1456.8,-13.4,-0.92,348.71,HOLD_CLOSE,1406.98,1556.43,0.568,0.549
2026-02-05,RELIANCE.NS,1443.4,1450.8,1.0,1443.4,7.4,0.51,356.11,HOLD_CLOSE,1394.78,1540.63,0.584,0.757
